instructor_id,semester_id,avg_grade,avg_score,avg_attendance
4,1,72.19,70.59,75.05
2,2,69.59,71.86,72.65
3,3,70.07,69.57,73.03
5,2,67.33,69.51,75.81
5,3,66.12,69.35,75.38
1,3,69.44,68.37,74.21
5,1,71.21,70.81,76.69
4,2,69.8,69.23,76.43
2,1,71.48,68.38,74.99
1,2,59.79,63.8,67.0
2,3,68.25,70.82,75.79
3,2,70.78,70.85,77.85
1,1,66.91,69.59,73.33
4,3,71.62,73.39,78.78
6,1,70.54,67.53,73.82
9,2,68.62,70.76,76.63
7,3,68.61,68.14,76.73
8,1,71.37,69.03,72.59
10,2,69.63,71.56,77.04
10,3,71.09,71.0,75.99
9,1,68.02,70.19,77.29
7,2,72.96,69.69,75.52
9,3,70.98,69.13,77.63
6,2,71.07,70.96,75.77
8,2,70.88,70.69,79.72
6,3,68.66,69.02,72.03
7,1,67.79,66.51,73.55
